,file,tiny,base,small,medium,large,original_text
0,test_audio/hi/clips/common_voice_hi_26008353.mp3,Hamneya Oscar yiren dheet minaya,حمنے اُس کا یرا ندر من آیا,अमने उसका जरन दिन मनाया,हमने उसका जरन दिन मनाया,हमने उसका जरंदिन मनाया,हमने उसका जन्मदिन मनाया।
0,test_audio/hi/clips/common_voice_hi_26010468.mp3,"Sao Delhi never negamsakth shopping mall ke bahar, nahi bikini holding.",Sao Delhi Nagarnigam Sakt Shopping Mall ke Bahar Nei Bikhinge Holding,"शाउद दिल्ली नगर निगम सकत, शाबटिग माल के बाहर नहीं दिखेंगे होर्टिं.",साउदिल्ली नगर निगम सक्त शॉपिंग मौल के बाहर नहीं दिकेंगे होडिंग।,साउट दिल्ली नगर निगम सक्त शॉपिंग मौल के बहर नहीं दिखेंगे होडिन्ग,"साउथ दिल्ली नगर निगम सख्त, शॉपिंग मॉल के बाहर नहीं दिखेंगे होर्डिंग"
0,test_audio/hi/clips/common_voice_hi_26010469.mp3,Utar koria ne amerika kodi hamle kidam ki,اُدتر کوریع نے امريقا کو دی ہم لیکی دھم کی,उत्तर कोर्या ने आमरेका को दी हमले की दम की,उतर कोर्या ने अमेरिका को दि हम्ले की दम्की,उत्तर कोरिया ने अमेरिका को दी हमले की दम्की,उत्तर कोरिया ने अमेरिका को दी हमले की धमकी
0,test_audio/hi/clips/common_voice_hi_26010470.mp3,"Agle Kamremi, Anek Ruman Murkia hai.","Agle Kamremi, Anik Roman Murthyah hai",अगले कम्रे में अनेक रोमन मुर्तिया हैं,अगले कम्रे में अनेक रोमन मुर्तियां हैं,अगले कम्रे में अनेक रोमन मूर्तियां हैं,अगले कमरे में अनेक रोमन मूर्तियाँ हैं।
0,test_audio/hi/clips/common_voice_hi_26010471.mp3,Thomko ka habizdiya,تم نے Tom ko kaha bhejdia,तुम ने तोम को कहा बेज दिया?,तुमने टोम को कहां भेज दिया?,तुमने टॉम को कहा भेज़ दिया?,तुम ने टॉम को कहाँ भेज दिया?
0,test_audio/hi/clips/common_voice_hi_26010497.mp3,Sardio ki Aane se vin chote hoyaatehe.,sardiyokhe aane se din chote ho jate hai.,सर्दियो के आने से दिन चोटे हो जाते हैं,सर्दियों के आने से दिन चोटे हो जाते हैं,सर्दीयों के आने से दिन छोटे हो जाते हैं,सर्दोयों के आने से दिन छोटे होते जाते हैं।
0,test_audio/hi/clips/common_voice_hi_26010498.mp3,Moji & Bakhtado,مجھے اور بکت دو,मुजे और बक्त दो,मुझे और बक्त दो,मुझे और बक्त दो,मुझे और वक़्त दो।
0,test_audio/hi/clips/common_voice_hi_26010499.mp3,Kanda ke bakil ne ka ha. Pollis ne kisi laptop ke demand ne khi hai.,"Kangna ke bakil na kaha, Polis na kisi laptop ke demand nahin ki hai.","कंगना के बकील नें कहा, पूलिस ने किसी लेप्टोप की दिमाड नहीं की है.","कंगना के बकील ने कहा, पूलिस ने किसी लैप्टॉप की डमाणड नहीं की है।","कंगना के बकील ने कहा, पुलिस ने किसी लैप्टॉप की डिमांट नहीं की है","कंगना के वकील ने कहा, पुलिस ने किसी लैपटॉप की डिमांड नहीं की है"
0,test_audio/hi/clips/common_voice_hi_26010500.mp3,What is the matter?,Kia Savaal hai!,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ� आ�,क्या सवाल है?,क्या सबाल है?,क्या सवाल है!
0,test_audio/hi/clips/common_voice_hi_26010532.mp3,raheem varek and chain 2no me maht ma shur hai,Vaharat & Chin 2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.00.0.0.0.0.0.00.0.0.0.0.0.00.00.0.00.00.00.0.00.00.00.00.00.0.00.00.00.00.0.00.0.0,पह्ध वारत और चीन दोनो में बहुत मशुर है,फहें भारत और चीन दोनों में बहुत मशूर हैं,वह भारत और चीन दोनों में बहुत मशूर है।,वह भारत और चीन दोनो में बहुत मशहूर है।
